"recno","Trig","Np","X_RA","X_DE"
167,1396,6,39.67,7.13
295,2187,1,38.35,8.88
428,2608,2,34.15,9.27
386,2463,1,59.25,14.28
231,1693,1,53.85,17.33
524,2951,4,56.3,24.12
84,741,1,59.02,22.97
492,2849,2,32.75,13.18
166,1390,1,38.2,14.1
323,2283,2,30.5,16.1
325,2304,1,29.02,17.53
416,2570,3,42.97,21.37
603,3472,2,47.25,27.2
554,3037,1,52.3,26.78
172,1419,3,39.47,27.47
45,480,1,40.37,29.48
355,2391,1,37.1,30.73
31,398,2,66.5,23.47
439,2636,1,64.3,25.32
262,2053,3,77.97,30.22
452,2690,1,72.12,30.57
410,2541,1,66.45,30.52
421,2589,1,76,38.55
276,2117,1,85.85,37.27
598,3120,3,89.17,45.58
488,2843,3,74.85,44.07
260,2047,6,59.9,33.82
564,3066,1,53.4,35.82
285,2143,4,60.4,38.33
387,2464,1,59.4,46.28
81,727,1,69.12,48.52
499,2873,1,74.6,50.58
204,1559,1,85.52,63.28
379,2450,4,20.82,25.33
154,1308,1,30.42,28.57
343,2360,1,15.82,34.38
118,1114,4,22.8,30.33
239,1730,3,22.1,33.9
510,2916,2,22.55,40
409,2530,3,32.2,34.43
406,2519,2,15.82,36.83
296,2188,3,13.92,49.42
544,3011,6,18.22,58.42
267,2087,2,7.45,55.75
321,2276,2,43,47.27
508,2910,1,47.02,56.27
470,2755,1,44.95,59.92
418,2583,1,44.42,64.28
192,1468,9,81.12,67.88
32,401,1,65.8,65.97
179,1443,3,68.35,66.83
301,2201,1,21.5,65
448,2679,1,15.55,66.48
113,1096,1,6.7,66.03
425,2600,2,4.2,74.17
454,2695,1,0.75,75.3
112,1088,1,42.42,67.77
210,1586,3,45.37,69.93
333,2326,1,50.27,72.72
117,1112,1,51.77,75.52
4,130,17,135.8,2.73
37,444,1,133.37,7.72
575,3080,1,138.1,8.4
151,1301,1,140.25,11.78
361,2408,1,132.37,7.43
206,1567,2,153.9,22.17
445,2665,1,142.65,18.22
317,2267,1,138.82,21.33
182,1449,7,147.95,25.07
563,3057,9,131.51,27.39
96,834,1,130.45,33.35
538,2994,3,131.85,34.2
223,1657,1,155.27,22.47
237,1714,1,153.1,25.18
351,2377,1,151.65,31.2
352,2380,11,163.45,35.63
6,148,3,174.1,44.83
407,2523,1,178.3,52.87
92,809,3,148.6,33.22
209,1580,1,146.75,41.98
207,1578,3,154.82,45.42
187,1461,1,161.02,46.97
467,2750,1,171.35,60.67
259,2043,1,111.25,39.43
464,2728,3,111.4,40.02
389,2476,6,102.3,37.38
380,2451,5,95.5,47.17
97,840,4,92.55,48.12
580,3089,6,110.12,48.87
177,1439,1,100.05,50.63
364,2428,6,100.9,60.8
24,257,2,142.75,53.98
171,1416,2,140.42,52.97
64,593,3,132.52,56.13
336,2332,1,150.67,55
250,1956,1,160.25,67.38
240,1733,1,157.85,68.9
443,2660,2,157.27,70.08
484,2821,1,124.85,60.58
255,2019,3,128.6,63.82
10,185,1,90.85,71.58
557,3042,9,108.37,75.78
190,1466,3,134.37,80.52
482,2812,3,152.3,82.13
475,2775,2,146.75,85.07
531,2978,1,111.32,83.93
577,3085,3,127.2,88.1
376,2447,3,223.02,3.38
275,2114,1,220.55,10.47
104,1039,1,218.1,10.87
108,1073,1,225.72,11.2
86,753,1,238.7,13.07
460,2715,1,240.05,19.7
496,2860,2,227.9,21.08
570,3073,1,220.2,17.87
459,2711,2,205.95,21.63
51,537,1,229.72,24.97
469,2753,5,226.37,25.32
58,555,1,232.22,32.33
274,2112,1,221.85,34.17
294,2181,3,248.87,22.25
43,473,1,255.07,29.05
512,2919,2,254.9,30.8
279,2126,1,239.92,28.8
213,1611,2,247.3,33.9
429,2610,4,258.57,33.47
346,2367,3,263.22,37.67
193,1469,5,251.47,43.5
412,2551,1,256.25,45.27
362,2412,1,260.95,46.33
252,1993,3,241.05,36.23
114,1097,1,235.1,37.43
70,658,1,237.4,38.82
455,2696,1,244.97,41.53
21,235,2,237.52,44.18
399,2509,2,233.42,49
9,179,2,266.47,58.3
188,1463,1,264.6,59.65
299,2193,1,194.8,26.77
461,2719,3,201.15,38.17
324,2288,1,216.35,48.73
497,2861,2,191.27,40.83
174,1425,2,184.15,48.48
181,1447,2,202.27,50.57
95,830,1,200.42,54.57
316,2265,1,180.2,59.57
511,2918,2,231.45,51.45
471,2760,1,212.42,52.83
542,3003,1,214.85,58.93
303,2203,1,242.82,57.52
150,1298,1,244.12,63.88
515,2925,4,216.97,63.78
345,2365,1,185.3,72.7
606,5415,1,224.62,67.28
607,6335,5,242.18,81.51
291,2155,1,188.8,84.73
123,1128,1,314.35,7.63
205,1561,1,320.5,13.45
65,594,11,313.87,16.93
522,2948,2,322.95,14.88
442,2649,1,319.67,23.03
165,1388,2,326.87,21.35
103,1036,3,306.4,14.57
120,1123,1,309.4,19.37
68,612,3,309.7,23.52
304,2205,1,302.4,20.02
565,3067,4,301.57,24.67
388,2472,1,304.55,27.95
128,1150,4,307.8,29.3
143,1218,2,334.6,26.17
327,2309,4,343.35,25.22
8,171,2,339.25,38.27
494,2851,1,343.95,36.12
302,2202,1,330.62,35.08
256,2037,6,324.62,47.37
168,1404,1,340.7,48.65
248,1924,1,351.57,53.62
486,2830,1,353.1,53.35
55,548,2,350.55,59.73
506,2898,2,352.22,58.88
99,867,2,350.27,63.13
161,1365,4,295.55,30.38
350,2373,2,294.37,34.12
200,1546,1,306.7,33.88
41,469,3,304.7,35.13
115,1102,1,280.97,31.08
146,1244,5,280.2,43.68
593,3113,3,289.82,45.43
390,2477,2,292.77,46.02
23,254,1,288.65,48.62
234,1701,1,285.77,53.73
393,2487,1,296.32,49.22
535,2986,1,295.75,50.62
384,2458,3,293.25,54.23
243,1791,1,280.07,59.48
281,2133,3,283.65,60.03
483,2814,1,273.35,62.2
311,2228,5,325.4,51.73
52,540,1,321.42,53.83
36,432,1,319.4,53.82
435,2628,2,311.5,55.95
266,2079,4,314.22,62.02
527,2964,1,349.6,67.5
163,1382,1,288.22,60.75
72,660,2,281.95,64.73
12,207,1,285.85,80.82
283,2140,1,9.07,-24.03
293,2167,1,6.82,-18.07
87,755,1,354.15,-17.08
313,2244,1,0.35,-10.88
485,2823,1,357.95,-9.63
370,2437,1,351.8,-8.38
481,2810,1,3.6,-5.1
339,2345,6,29.35,-5.97
372,2441,1,13.75,-9.08
441,2641,1,20.05,-6.17
235,1704,2,20.75,-2.32
254,2018,2,34.15,-1.57
136,1192,5,28.9,0.03
520,2944,3,7.52,-4.08
225,1660,2,4.85,-0.37
211,1588,1,6.2,0.97
523,2950,9,22.8,0.9
583,3094,1,24.35,4.73
218,1637,1,21.8,5.72
466,2749,1,339.8,-14.43
391,2482,2,334.55,-15.6
551,3030,5,332.8,-15.03
162,1379,1,329.65,-11.83
122,1126,1,337.07,-9.6
183,1452,1,333.67,-5.25
525,2952,2,347.75,-1.57
137,1196,2,354.25,-0.17
354,2389,3,347.1,-1.08
173,1422,6,343.65,4.38
493,2850,1,349.27,6.28
533,2984,5,323.5,6.93
265,2077,2,339.12,5.8
344,2362,1,339.72,10.78
280,2129,2,328.32,9.53
29,332,1,337.07,15.42
458,2709,2,4.85,9.87
48,501,1,12.1,15.12
489,2844,2,18.15,15.73
135,1190,4,6.95,22.67
338,2344,1,5.85,22.85
446,2671,1,6.52,24.53
337,2340,5,344.2,16.42
185,1456,1,344.17,16.83
94,824,1,346.07,21.37
11,206,1,356.9,25.28
479,2795,1,353.45,28.32
199,1540,7,357,34.13
315,2254,1,106.25,-20.03
334,2328,5,101.82,-16.67
465,2748,1,76.22,-25.13
272,2105,1,85.67,-15.63
3,111,1,75.82,-19.52
232,1694,1,93.72,-7.55
401,2511,2,88.67,-10.42
383,2454,1,109.85,-16
502,2880,1,109.45,-14.47
89,788,1,109.61,-10.31
411,2542,3,108.6,-9.52
194,1472,1,105.85,-5.92
543,3005,1,111.42,-1.57
431,2615,1,132.57,-2.05
5,133,4,126.55,-0.23
348,2371,3,121.15,0.42
300,2197,1,117.77,0.98
60,568,1,125.8,3.32
17,222,4,107,0.37
462,2725,1,94.7,-2.85
278,2125,1,99.85,1.72
449,2680,1,104.6,3.57
19,228,1,111.55,1.05
501,2879,1,118.77,13.72
238,1723,1,117.52,14.37
578,3087,1,109.8,12.93
329,2312,1,69,-17.82
604,3480,3,66.22,-11.57
284,2142,2,59.5,-11.93
545,3012,4,61.52,-8.88
26,288,2,78.75,-9.37
290,2152,3,79.82,-2.6
385,2460,1,71.17,-0.52
547,3026,1,69.05,0.17
433,2620,1,59.65,-6.35
158,1328,4,54.6,-3.22
487,2834,2,63.5,0.12
241,1741,1,68.25,5.88
40,467,2,63.52,8.4
507,2901,1,64.8,16.52
307,2213,5,90.32,5.43
342,2357,1,89.8,8.33
310,2220,1,96.45,11.75
155,1311,10,84.75,14.25
400,2510,1,102.47,16.72
157,1319,1,96.72,15.72
308,2217,1,79.32,16.43
131,1154,1,74.6,24.17
368,2435,4,80.8,26.93
44,474,1,87.55,24.82
436,2632,1,97.12,29.78
423,2597,1,85.89,30.82
559,3046,1,188,-23.97
125,1141,2,172.5,-22.83
289,2151,2,182.05,-8.23
30,351,3,174.75,-12.95
320,2273,1,179.25,-8.65
505,2897,2,204.9,-10.33
138,1197,4,218.65,-4.83
395,2500,5,213.1,-0.68
366,2432,1,210.1,-1.37
378,2449,1,212.17,1.37
553,3036,1,214.07,5.98
503,2891,5,213.9,8.37
432,2619,1,196.75,-3.13
38,451,5,198,-2.48
403,2513,1,201.32,10.63
78,686,2,166.9,-1.18
477,2788,1,166.37,-0.05
561,3055,5,145.17,-6.43
594,3114,1,155.87,-0.05
169,1406,1,156.92,1.17
149,1289,1,159.87,3.23
526,2958,5,161,10.07
226,1661,1,162.12,10.03
549,3028,2,158.9,9.88
571,3074,1,148.92,10.9
408,2529,1,154.32,15.92
504,2896,1,180,8.92
119,1120,1,183.92,8.23
532,2980,1,175.52,12.97
71,659,3,193.55,20.32
605,3648,2,165.37,14.98
417,2581,4,167.57,20
269,2099,1,161.47,22.43
357,2393,2,168.15,23.95
397,2504,1,175.07,29.58
398,2505,2,177.1,37.23
590,3108,1,276.2,-31.33
596,3118,1,276.21,-31.33
79,692,3,268.35,-27.08
230,1687,1,276.65,-22.07
247,1886,1,279.15,-20.7
57,551,1,276.07,-18.58
335,2330,2,255.35,-24.33
159,1346,6,269.75,-15.27
371,2440,7,265.5,-10.98
567,3070,3,260.12,-8.62
111,1087,1,261.62,-9.37
450,2681,8,266.6,-5.62
85,752,2,298.12,-8.58
54,547,1,294.15,-7.22
404,2514,1,310.95,-1.22
217,1636,1,284.72,5.93
586,3100,4,291.57,5.37
363,2423,1,298.72,6.33
516,2931,2,294.62,10.95
495,2858,1,288.6,11.78
518,2933,1,249.15,-14.47
13,211,1,249.02,-11.77
110,1086,1,253.5,-5.92
328,2311,2,241.7,-7.08
242,1760,1,262.15,-5.78
498,2862,1,259.7,0.47
424,2599,1,256.77,-0.88
396,2502,1,255.25,6.03
251,1968,1,238.72,-7.43
126,1142,1,235.87,-0.4
430,2614,1,238.32,0.78
141,1211,1,255.95,10.62
180,1446,1,241,10.65
591,3109,4,242.37,13.65
556,3040,1,246.87,12.25
420,2586,7,272.5,9.33
62,577,1,273.17,14.13
178,1440,2,271.25,17.47
109,1076,1,280.55,17.6
282,2138,2,261.3,14.73
246,1885,1,261.65,16.07
451,2688,1,260.5,21.83
1,105,3,270.67,24.77
375,2446,5,262.17,26.75
359,2395,1,33.65,-80.53
456,2697,1,22.05,-74.68
73,666,2,79.7,-72.17
101,1009,4,62.25,-66.25
46,486,1,24.02,-65.98
214,1626,1,14.65,-67.13
314,2252,1,12.82,-62.67
227,1662,1,27.32,-63.85
74,673,1,40.52,-63.77
130,1153,1,38.15,-53.12
585,3099,6,42.57,-49.08
39,465,1,69.25,-58.42
105,1042,4,63.97,-51.37
224,1659,1,89,-43.42
587,3101,4,85.5,-39.87
66,603,3,81.5,-36.27
381,2452,3,78.65,-33.15
322,2277,2,50.12,-36.83
419,2585,1,57.85,-38.88
261,2049,1,54.8,-32.38
566,3068,1,72.02,-34.17
476,2776,2,71.25,-23.23
127,1145,1,68.7,-21.6
196,1481,1,0,-60.48
592,3110,3,26.75,-49.85
558,3043,1,23.17,-43.88
20,229,1,30.55,-50.72
42,472,1,33.47,-49.28
521,2945,2,29.8,-45.22
539,2995,1,29.55,-43.83
341,2347,1,26.85,-41.47
438,2634,1,26.75,-38.68
358,2394,5,33.3,-41.03
90,799,1,32.55,-35.65
584,3096,3,3.75,-48.75
35,414,1,8.45,-32.8
25,269,1,21.95,-38.37
212,1604,1,24.32,-37.02
330,2316,2,18,-35.18
309,2219,2,40.92,-36.68
