"Name","Obs","Tel","amaj","bmin","Rangle","RAJ2000","DEJ2000","Freq0","DM","RAJ2000.1","Width","S.N","zHost","SimbadName"
"FRB20200125A",2458874.01064352,"GBT",18,18,0,219.131583333333,7.7019,350,179.47,219.131583333333,3.7,8.1,NA,"NAME FRB 20200125A"
"FRB20190614D",2458648.55071771,"VLA",0.006,0.003,67,65.0755416666667,73.70675,1400,959.2,65.0755416666667,5,8.27,NA,"NAME FRB 20190614D"
"FRB191108",2458796.32558416,"Apertif",5,0.0416,NA,23.4458333333333,31.8583333333333,1370,588.1,23.4458333333333,0.34,103,NA,"FRB191108"
"FRB190907.J08+46",2458734.21022351,"CHIME/FRB",14,11,90,122.25,46.2666666666667,600,310.9,122.25,3,0,NA,"NAME FRB 190907.J08+46"
"FRB190711",2458675.57894515,"ASKAP",0.006,0.003,0,329.4195,-80.358,1320,593.1,329.4195,6.5,23.8,0.522,"FRB190711"
"FRB190611",2458645.74008448,"ASKAP",0.015,0.005,0,320.745458333333,-79.3975833333333,1320,321.4,320.745458333333,2,9.3,0.378,"FRB190611"
"FRB190608",2458643.45014911,"ASKAP",0.01,6e-04,0,334.019791666667,-7.89822222222222,1320,338.7,334.019791666667,6,16.1,0.1178,"FRB190608"
"FRB190604.J1435+53",2458640.73221729,"CHIME/FRB",11,10,90,218.75,53.2833333333333,600,552.7,218.75,1.2,0,NA,"NAME FRB 190604.J1435+53"
"FRB190523",2458626.75411823,"DSA-10",NA,NA,NA,207.065,72.4697222222222,1411,760.8,207.065,0.42,11.5,0.66,"FRB190523"
"FRB190417.J1939+59",2458591.08037979,"CHIME/FRB",16,13,90,294.75,59.4,600,1378.1,294.75,3.3,0,NA,"NAME FRB 190417.J1939+59"
"FRB190303.J1353+48",2458666.63518243,"CHIME/FRB",15,14,90,208.25,48.25,600,222.4,208.25,4.5,0,NA,"NAME FRB 190303.J1353+48"
"FRB190222.J2052+69",2458537.28196027,"CHIME/FRB",11,10,90,313,69.8333333333333,600,460.6,313,2.97,0,NA,"NAME FRB 190222.J2052+69"
"FRB190212.J18+81",2458527.17869414,"CHIME/FRB",15,10,0,276,81.4333333333333,600,301.7,276,4.1,0,NA,"NAME FRB 190212.J18+81"
"FRB190212.J02+20",2458526.52936684,"CHIME/FRB",20,16,90,33.5,20.0666666666667,600,651.1,33.5,10,0,NA,"NAME FRB 190213.J02+20"
"FRB190209.J0937+77",2458523.84746501,"CHIME/FRB",16,8,90,144.25,77.6666666666667,600,424.6,144.25,3.7,0,NA,"NAME FRB 190209.J0937+77"
"FRB190208.J1855+46",2458523.23729514,"CHIME/FRB",15,14,90,283.75,46.9666666666667,600,579.9,283.75,0.91,0,NA,"NAME FRB 190208.J1855+46"
"FRB190117.J2207+17",2458501.42947299,"CHIME/FRB",15,8,90,331.75,17.3833333333333,600,393.3,331.75,1.44,0,NA,"NAME FRB 190117.J2207+17"
"FRB190116.J1249+27",2458500.04691936,"CHIME/FRB",14,8,90,192.25,27.15,600,444,192.25,4,0,NA,"NAME FRB 190116.J1249+27"
"FRB190102",2458485.73522559,"ASKAP",0.012,0.003,0,322.415666666667,-79.4756944444444,1320,363.6,322.415666666667,1.7,14,0.291,"FRB190102"
"FRB181228",2458481.07557986,"UTMOST",240,3.85,90,92.3485,-45.9673333333333,835,354.2,92.3485,1.24,12,NA,"FRB181228"
"FRB181128.J0456+63",2458450.85256644,"CHIME/FRB",12,11,90,74,63.3833333333333,600,450.2,74,2.43,0,NA,"NAME FRB 181128.J0456+63"
"FRB181123",2458446.24246675,"FAST",3,3,0,76.5281666666666,18.1599166666667,1250,1812,76.5281666666666,1.05,0,NA,"FRB181123"
"FRB181119.J12+65",2458442.20073138,"CHIME/FRB",9,3,90,190.5,65.1333333333333,600,364.2,190.5,6.3,0,NA,"NAME FRB 181119.J12+65"
"FRB181112",2458435.23004031,"ASKAP",0.026,0.0066,120,327.348458333333,-52.9709416666667,1272.5,589.27,327.348458333333,2.1,19.3,0.4755,"FRB181112"
"FRB181030.J1054+73",2458421.6758452,"CHIME/FRB",26,8,90,163.5,73.7333333333333,600,103.5,163.5,0.59,0,NA,"NAME FRB 181030.J1054+73"
"FRB181017.J1705+68",2458409.47652616,"CHIME/FRB",12,12,0,256.25,68.2833333333333,600,1281.9,256.25,13.4,0,NA,"NAME FRB 181017.J1705+68"
"FRB181017",2458408.9337662,"UTMOST",240,0.41,90,331.478416666667,-8.84283888888889,835,239.97,331.478416666667,0.32,66,NA,"FRB181017"
"FRB181016",2458407.6784294,"UTMOST",270,3.95,90,236.586833333333,-25.4090555555556,835,1982.8,236.586833333333,8.6,17,NA,"FRB181016"
"FRB180924",2458386.18278502,"ASKAP",0.002,0.002,0,326.105229166667,-40.9000277777778,1320,361.42,326.105229166667,1.3,194,0.3214,"FRB180924"
"FRB180916.J0158+65",2458478.65520957,"CHIME/FRB",11,7,90,29.5,65.7333333333333,600,348.8,29.5,0.87,0,0.0337,"NAME FRB 180916.J0158+65"
"FRB180908.J1232+74",2458370.38404233,"CHIME/FRB",19,17,90,188,74.2,600,195.7,188,1.91,0,NA,"NAME FRB 180908.J1232+74"
"FRB180817.J1533+42",2458347.57592826,"CHIME/FRB",12.8,9.6,0,233.25,42.2,600,1006.84,233.25,0.37,69.9,NA,"NAME FRB 180817.J1533+42"
"FRB180814.J1554+74",2458345.09738935,"CHIME/FRB",34.4,17.4,0,238.5,74.0166666666667,600,238.32,238.5,0.18,29.7,NA,"NAME FRB 180814.J1554+74"
"FRB180814.J0422+73",2458345.11791692,"CHIME/FRB",33.8,11.5,0,65.5,73.7333333333333,600,189.38,65.5,2.6,24,NA,"NAME FRB 180814.J0422+73"
"FRB180812.J0112+80",2458342.9899638,"CHIME/FRB",59.2,11.4,0,18,80.7833333333333,600,802.57,18,1.25,19.8,NA,"NAME FRB 180812.J0112+80"
"FRB180810.J1159+83",2458341.44493626,"CHIME/FRB",79,11.4,0,179.75,83.1166666666667,600,169.134,179.75,0.28,56.7,NA,"NAME FRB 180810.J1159+83"
"FRB180810.J0646+34",2458341.22840988,"CHIME/FRB",11.5,9.9,0,101.5,34.8666666666667,600,414.95,101.5,0.27,17.7,NA,"NAME FRB 180810.J0646+34"
"FRB180806.J1515+75",2458337.09239707,"CHIME/FRB",38.2,16.8,0,228.75,75.6333333333333,600,739.98,228.75,0.69,17.5,NA,"NAME FRB 180806.J1515+75"
